nest_qualities, pop_coeff, lambda_sigmoid, QUORUM_THRE, QUORUM_OFFSET, avg_score, best_count, conv_count, search_find, avg_rounds_til_empty, avg_ants, avg_broods, avg_transports, conv_dist, conv_score
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.03,0,0.0008149959250203749,1,1,0.005,1426.0,0.995,1.0,341.0,[0. 0. 0. 0. 1.],1.0
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.06,0,0.0006997900629811056,1,1,0.005,1628.0,1.0,1.0,298.0,[0. 0. 0. 0. 1.],1.0
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.09,0,0.0009363295880149813,1,1,0.005,1267.0,0.99,1.0,339.0,[0. 0. 0. 0. 1.],1.0
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.12,0,0.002008032128514056,1,1,0.005,697.0,0.98,1.0,184.0,[0. 0. 0. 0. 1.],1.0
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.15,0,0.003968253968253968,0,1,0.005,451.0,0.0,0.0,185.0,[0. 0. 1. 0. 0.],0.5
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.18,0,0.0019305019305019305,1,1,0.005,717.0,0.995,1.0,179.0,[0. 0. 0. 0. 1.],1.0
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.21,0,0.0026109660574412533,1,1,0.005,582.0,1.0,1.0,203.0,[0. 0. 0. 0. 1.],1.0
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.24,0,0.0036363636363636364,0,1,0.005,474.0,0.0,0.0,172.0,[0. 0. 0. 1. 0.],0.75
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.27,0,0.006329113924050633,1,1,0.005,357.0,0.98,1.0,168.0,[0. 0. 0. 0. 1.],1.0
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.3,0,0.005263157894736842,1,1,0.005,389.0,1.0,1.0,170.0,[0. 0. 0. 0. 1.],1.0
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.33,0,0.0031847133757961785,1,1,0.005,513.0,1.0,1.0,165.0,[0. 0. 0. 0. 1.],1.0
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.36,0,0.0,0,0,0.005,1999.0,0.0,0.0,0.0,[1. 0. 0. 0. 0.],0.0
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.39,0,0.0015360983102918587,1,1,0.005,850.0,1.0,1.0,165.0,[0. 0. 0. 0. 1.],1.0
nest_qualities, pop_coeff, lambda_sigmoid, QUORUM_THRE, QUORUM_OFFSET, avg_score, best_count, conv_count, search_find, avg_rounds_til_empty, avg_ants, avg_broods, avg_transports, conv_dist, conv_score
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.03,0,0.0,0,0,0.005,1999.0,0.0,0.0,230.0,[1. 0. 0. 0. 0.],0.0
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.06,0,0.0,0,0,0.005,1999.0,0.725,0.78,220.0,[1. 0. 0. 0. 0.],0.0
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.09,0,0.0031446540880503146,1,1,0.005,517.0,0.995,1.0,187.0,[0. 0. 0. 0. 1.],1.0
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.12,0,0.001081081081081081,0,1,0.005,1124.0,0.0,0.0,179.0,[0. 0. 1. 0. 0.],0.5
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.15,0,0.0016863406408094434,0,1,0.005,792.0,0.0,0.0,179.0,[0. 0. 0. 1. 0.],0.75
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.18,0,0.0035971223021582736,0,1,0.005,477.0,0.015,0.0,179.0,[0. 0. 0. 1. 0.],0.75
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.21,0,0.0015105740181268882,0,1,0.005,861.0,0.0,0.0,172.0,[0. 0. 1. 0. 0.],0.5
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.24,0,0.0029940119760479044,1,1,0.005,533.0,0.985,1.0,172.0,[0. 0. 0. 0. 1.],1.0
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.27,0,0.002066115702479339,0,1,0.005,683.0,0.035,0.0,177.0,[0. 0. 1. 0. 0.],0.5
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.3,0,0.0,0,0,0.005,1999.0,0.0,0.0,0.0,[1. 0. 0. 0. 0.],0.0
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.33,0,0.0,0,0,0.005,1999.0,0.0,0.0,0.0,[1. 0. 0. 0. 0.],0.0
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.36,0,0.002849002849002849,0,1,0.005,550.0,0.0,0.0,161.0,[0. 0. 0. 1. 0.],0.75
"[0.0, 0.5, 1.0, 1.5, 2.0]",0.35,8.0,0.39,0,0.0018552875695732839,0,1,0.005,738.0,0.0,0.0,158.0,[0. 1. 0. 0. 0.],0.25
